Column1,comment_text,hashtag,toxic,severe_toxic,obscene,threat,insult,identity_hate,non_toxic
0,"กะเทยกับผ้าพลิ้วมันเป็นของคู่กัน 
คืนนี้เตรียมตัวเลย เวลา 22:30 น. พาเที่ยว เขาช่องลม นครนายก ทางช่อง GMM25
#เทยเที่ยวไทย
#GMMTV
@godji_godji  @gorfern  @JenniePanhan https://t.co/eSnDmVKH21",/เทยเที่ยวไทย/GMMTV,0,0,0,0,0,0,1
1,วันนี้เเว้นทั้งวัน กะเทยเเก่ทำขาชั้นไหม้,,0,0,0,0,0,0,1
2,@mckers บทละครใหม่ กะเทยจดเตรียมพูดลงติ๊กต็อก 555555,,0,0,0,0,0,0,1
3,เบื่อๆๆๆ 😞😞😞😞 #สาวสองนครปฐม #รับงานนครปฐม #รับงาน #นครปฐมนัดเย็ด #นัดเย็ดนครปฐม #กะเทย #นครชัยศรี #ศาลายา #สาย7 #สายสองมีงู #สาวเสียบ #นครปฐมในเมือง https://t.co/0rn1xIPQip,/สาวสองนครปฐม/รับงานนครปฐม/รับงาน/นครปฐมนัดเย็ด/นัดเย็ดนครปฐม/กะเทย/นครชัยศรี/ศาลายา/สาย7/สายสองมีงู/สาวเสียบ/นครปฐมในเมือง,0,0,1,0,0,0,0
4,"เป็นกะเทยนะคะ อย่าเข้าใจผิดว่าเป็นผู้หญิงนะ นัดได้ค่ะ ชอบอมควย ความลับ 

#นัดเย็ดสมุทรปราการ #นัดเย็ดสำโรง #นัดเย็ดเทพารักษ์ #นัดเย็ดวัดด่านสำโรง #นัดอมควย #อมควย #สำโรง #เทพารักษ์ #วัดด่าน https://t.co/yLgUrQYhBi",/นัดเย็ดสมุทรปราการ/นัดเย็ดสำโรง/นัดเย็ดเทพารักษ์/นัดเย็ดวัดด่านสำโรง/นัดอมควย/อมควย/สำโรง/เทพารักษ์/วัดด่าน,0,0,1,0,0,0,0
5,คุยกับใครแล้วอมยิ้ม ก็หวังว่าวันหนึ่งจะได้ อมอย่างอื่น 55 กะเทยมีงูรับงาน ยะลารับงาน ID rayaallev https://t.co/9VjhvHq0B1,,0,0,1,0,0,0,0
6,เพลงทไวซ์ไทป์กะเทยจริง กะเทยที่แปลว่าจริตอะ กุก้ชอบ,,0,0,0,0,1,0,0
7,@chanmali10 กะเทยจำสลับกับลูน่า,,0,0,0,0,0,0,1
8,บอกตลอด..ว่า #ไม่สวย..บอกตลอดว่า #ไม่ผอม..บอกตลอดว่า #กะเทย..แล้วก็ย้ำเสมอ..ว่า..#น่ารัก..คนแก่ก็น่ารักได้จร้า.😬😬😬 https://t.co/vuWOuUhIGr,/ไม่สวย/ไม่ผอม/กะเทย/น่ารัก,0,0,0,0,0,0,1
9,"อยากมีแฟน อยากจับมือแฟน อยาอมควยแฟน  😆😊💦

#กะเทย #สาวสอง #ตรัง #ภูเก็ต #สงขลา
#หาดใหญ่ #โสด #กะเทยโสด #อยากมีแฟน https://t.co/dol1pMUbrl",/กะเทย/สาวสอง/ตรัง/ภูเก็ต/สงขลา/หาดใหญ่/โสด/กะเทยโสด/อยากมีแฟน,0,0,1,0,0,0,0
10,@akikofafa กะเทยชื่อแบงค์,,0,0,0,0,1,0,0
11,@bubbleboyyyy เพราะเป็นกะเทยแก่ขี้แพ้ค่ะ,,1,0,0,0,1,0,0
12,@baeblueboo กะเทยนี่,,0,0,0,0,1,0,0
13,ไม่รับกะเทยเข้าทำงานผิดกฎหมายมั้ย กุจะได้แจ้งจับเจ้านายตัวเอง,,0,0,0,0,0,0,1
14,กะเทยเกาหลีไม่ใช้ยุทุปมั้ง,,0,0,0,0,1,1,0
15,กะเทยเยี่ยวแตก https://t.co/K8EHJGjl7G,,1,0,0,0,1,0,0
16,"11= กะเทยเด็กแอบแม่
Love dive = กะเทยมหาลัยออกสาวนิดหน่อยพอเรียบร้อย 
After like = กะเทยแต่งหญิงจิกส้นเข็ม",,0,0,0,0,1,0,0
17,อีกะเทยเกาหลีที่ทำคลิปล้อน้องวอนยองกินสตอเบอรี่อย่าให้กุรุ้นะ ว่าพรุ่งนี้ฟังอาฟเตอยำแล้วนั่งเคียวอยู่ห้อง,,1,0,0,0,1,1,0
18,กุดูรีแอคกะเทยแต่ละคนคือ ไหนงูไหนแมงมุม5555555555,,1,0,0,0,0,0,0
19,เพลงกะเทยมากกกกกกก https://t.co/vqivPvmMVr,,0,0,0,0,1,0,0
20,"กะเทยหยุดชอบอาฟเตอร์ยำก่อนเหอะสงสารไอบึเพราะ
eleven - ไม่ชอบ พรีฮุคเบา  &gt; ชาร์ตปัง
love dive - ท่อนฮุคแปลก ไม่ชอบ &gt; 
                   ชาร์ตปัง
after like - เพลงดีมากมึงรอท่าเต้น &gt; ????? (😭😭😭)",,1,0,0,0,0,0,0
21,ก็เป็นแบบนี้ได้เนาะ อาถรรพ์กะเทยอวย= https://t.co/72UP1AC9rs,,1,0,0,0,0,0,0
22,เพลงแบบ กะเทยลุกเต้นแหละนะ https://t.co/U89XrmxSDj,,1,0,0,0,1,0,0
23,เกาหลีไม่มีกะเทย พวกชายแท้ฟังพิ้งเวน่อมด่วน,,0,0,0,0,0,0,1
24,22สิงหา วันกะเทยแห่งชาติ มาค่ะเริ่มอาฟเต้อไล้ เริ่ม!!!,,0,0,0,0,0,0,1
25,เพราะมากกก After Like ปังแน่ท่อนโซโล่กะเทย,,0,0,0,0,0,0,1
26,After Like จะกลายเป็นลูกรักกะเทยในอีกไม่ช้า https://t.co/9sa7dYUFsl,,0,0,0,0,0,0,1
27,เพลงะกะเทยมาก จับใจชาวเกาหลีทีเถอะ,,0,0,0,0,0,0,1
28,มึง เพลงน้องไอบึอ่ะ After LIKE อะ มันคือ I Will Survive เลยอะ คือเพลงปลุกกะเทย เพลงแห่งด้อม ก็คือต้องปังงง ก็คือเริ้ดดดด,,0,0,0,0,0,0,1
29,เพลงกะเทยมาก ประทับใจ,,0,0,0,0,0,0,1
30,@ceeyoua เพลงเคียวหีมาก กะเทยเกาหลีเตรียมตายโหง,,1,0,1,1,0,1,0
31,แล้วกะเทยเกาหลีจะอยู่ยังไง https://t.co/7uaHzoGvrQ,,0,0,0,0,0,1,0
32,แต่เกาหลีไม่มีกะเทย,,0,0,0,0,0,0,1
33,กะเทยแอ๊บแมนเกาหลีตายโหงหมดแน่เจออ้าฟเต้อยำ ยั่วเคียวออกฤทธิ์หมด,,1,0,0,1,0,1,0
34,พวกแอนตี้lgbtฟังอิหัวนมด่วน อย่าให้พวกกะเทยมีที่ยืนอาจุมม่าทั้งหลายเร็วๆ ไอ้พวกคอนเซอเวทีฟ https://t.co/RRe3myia6D,,1,0,1,0,1,1,0
35,กะเทยตาย  https://t.co/mK4TSCY7Ol,,0,0,0,0,0,0,1
36,กะเทยอวยเว่อ กุสั่นละ,,1,0,0,0,0,1,0
37,เพลงโครตกะเทย หญิงแท้แบบเราคงเข้าไม่ถึง,,1,0,0,0,0,1,0
