,text_token,toxic,severe_toxic,obscene,threat,insult,identity_hate
3077,อหความฝันในการเป็นดอกเตอร์กุไม่เกินจริงแล้วซื้อได้ถูกชิบหายแม่เอ้ยโหนกระแส,0,0,0,0,0,0
6291,จนจบก็ไม่เฉลยเนาจะว่ามูด็อกคือบูยอนคงจะมีแค่แม่โซยอนมั้งที่รู้เลยไม่อยากให้ฆ่าให้เอาตัวที่ยังมีขีวิตอยู่มาสอบสวนจริงssเฉลยว่าบูยอนเป็นลูกใครทุกคนรู้มูด็อกคือบูยอนก็ได้ไหมแล้วอีกอย่างพลังบูยอนนี่จะได้ให้ตอนไหนนอกจากกักพลังนักซูไว้กับช่วยไม่ให้จางอุกถูกแปรวิญญาก็ไม่รู้ว่าได้,0,0,0,0,0,0
7146,ทุเร่ดดดดดดดพดจะตบ,0,0,0,1,0,0
2682,weibo电视剧星汉灿烂·月升沧海updateofficialรอรอฉันฉันจะไปที่นั่นรอฉันรอรอรอฉันด้วยดาราจักรรักลานาใจดั่งห้วงสมุทรลิขิตจันทราlovelikethegalaxy,0,0,0,0,0,0
4584,หลอดหัดดูดนั่งดูดนอนดูดอะไหล่ขวดนมเปลี่ยนขวดนมให้เป็นขวดหัดดูดมีทั้งคอแคบและคอกว้างhaeiyk,0,0,0,0,0,0
5583,kantควยพี่สวยมากคับ,0,0,1,0,0,0
7166,กุอยากย้อนเวลาไปตบปากตัวเองที่บอกไม่ชอบไทป์แบบสคส,0,0,0,0,0,0
8596,กากอะไรไม่เคยกากเลอนะ,0,0,0,0,0,0
218,oattยอดดูkกว่ากะเทยดูเลโก้หรือดูคุโอ๊ต,0,0,0,0,0,0
6858,คนถามทำผญต้องทนกับด่าทอเหยื่อลองคิดถ้าครอบครัวทำร้ายร่างกายทั้งคำพูดและจิตทำไมยังทนไม่ยอมหนีเหตุผลมันก็อันเดียวกันแล้วเหยื่อมันมีสภาวะสมยอมและกลัวบางคนถึงจั้นวิตกกังวลกลัวสังคมมันไม่ง่ายแค่โดนตบแล้วเดินออกมากลองถามตัวเองดูจริงขนาดโดนครูด่าในห้องทำไมเด็ดถึงเงียบไม่เดินออกไปเลย,0,0,0,0,0,0
3964,khunakrเงี่ยนอยากเห็นควยทหาร,0,0,1,0,0,0
4625,นมสวย,0,0,1,0,0,0
2543,wetvvipวันวันหารwetvราคาถูกมากหารwetvvipหารวีทีวีหารวีทีวีราคาถูกwetvthหารwetvราคาถูกหารwetvwetvราคาถูกดาราจักรรักลานาใจของรักของข้าจ้าวลู่ซืออู๋เหล่ยyinyinanwwarwanaratwuleiหยิ่นวอร์ดั่งห้วงสมุทรลิขิตจันทรา,0,0,0,0,0,0
4842,อยากมีเมียสักคนเวลาต่อหน้าเพื่อนกูจะทำตัวเป็นผัวที่ดีแต่ลับหลังกูจะเย็ดเมียจนเยี่ยวแตกขาสั่นทรีตให้เมียกลายเป็นเด็กร่านติดควยทั้งเนื้อทั้งตัวมีแต่น้ำเงี่ยนของกูนอนแหกหีรอให้กูเย็ดอยู่บนเตียงทุกวันคิดแล้วเงี่ยนเลยว่ะยืมเมจforsexnsfwxroleplay,1,0,1,0,0,0
1244,สาวอ้วนแก่งคอยสระบุรีสาวอ้วนแก่งคอยว่างห้องฟรียังรับนะค่ะมามาจ้าว่างยังนัดได้ยุพร้อมรับงานว่างห้องมีทักมาจ้าidzzzz,0,0,1,0,0,0
420,ปัญญาอ่อน,1,0,0,0,0,0
7173,ตบแป้งรอ,0,0,0,0,0,0
7682,ยิงตอบมชกุหน่อยสักทวิต,0,0,0,0,0,0
2058,เราลดจิ้นแค่เรื่องงานนอกนั้นทุกอย่างเหมือนเดิมเราอยู่ด้วยกันทุกวันเกือบชมเวลานุ๊กเครียดก็จะคุยกับปายเวลามีความสุขปายคือคนแรกที่รู้คุยแซ่บโชว์xนุ๊กปาย,0,0,0,0,0,0
8645,กุไม่รักมอมออีกต่อปัยกุอยากลาออกกกกกกกกกกกกกกกกกกีก้้กีด่ก่ากากากาากากากาก,0,0,0,0,0,0
6682,อยากไปสำเพ็งมากไม่มีผู้ใดว่างเลอหรือกุลุยเดี่ยวดีในหัวตบตีกันสุด,0,0,0,0,0,0
6314,หนังคนละม้วนเดียวกันลูกซาตานกับลูกคิชินพ่อเป็นโมโม่กับพ่อเป็นเอ้กโซซิสพาลาดินโลกคู่ขนานแต่อย่างน้อยโอนิก็ไม่ได้จะจับชิกิไปฆ่าแบบเรื่องนู้น,0,0,0,0,0,0
7796,ยิงฝั่งกองเชียร์เรดคือกดดันชิบหาย,0,0,0,0,0,0
1166,อ้วนขึ้นมาได้ละม๊าเรียกกินข้าว,0,0,0,0,0,0
254,ไอบึตีตลาดกะเทยหรอ,1,0,0,0,1,0
415,โค้ชไทยไม่เก่งบลาไร้สาระเพ้อไปวันนักกีฬาก็พวกอีโค้ชไทยนี่ล่ะปั้นพวกมันมามันถึงได้มีโอกาสไปเล่นนอกกันพวกเสล่ออย่างพวกอยากได้คนนั้นคนนี้วิจาร์ได้แต่วิเคราะห์ปัญญาอ่อน,1,0,0,0,1,0
6630,ไม่เชื่อว่าบูยอนจะไม่มีบทพาร์ทสองอ่ะเพราะเรื่องมันปูบทบูยอนหนักในตอนสุดท้ายอะแล้วไหนจะเรื่องนักซูอีกนี่ไม่เชื่อจินมูใช้พ่อนักซูไปฆ่าล้างตระกูลโจเพื่อกำจัดพยานที่รู้เห็นมนตร์ดำอะนี่คิดว่าตัวนักซูเองก็ต้องเป็นเทพทรูเหมือนกันalchemyofsoulsep,0,0,0,0,0,0
9340,สันดารตอแหลทั้งหมด,1,0,0,0,1,0
